Budget currency,Date range,Advertiser account ID,Advertiser account name,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Ad group ID,Ad group name,Advertised product ID,Advertised product name,Advertised product parent ID,Advertised product brand,Advertised product category,Advertised product subcategory,Advertised product group,Advertised product SKU,Advertised product marketplace,Impressions,Clicks,CTR,Total cost,Purchases,Sales,Units sold,Cost per purchase,Purchase rate,ROAS,Purchases (promoted),Sales (promoted),Units sold (promoted),Cost per purchase (promoted),Purchase rate (promoted),ROAS (promoted),Purchases (halo),Sales (halo),Units sold (halo),Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Cost per purchase (new to brand),Purchase rate (new to brand),ROAS (new to brand),Detail page views,Cost per detail page view,Detail page view rate
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,106276615587889,BA - Wooden Toys,"=""422466067749037""",SP-Auto - Wooden Products - Generic,"=""304050272629409""",Auto,B0CJBLTM11,"Cubelelo Drift Daily Calendar Puzzle | A-Puzzle-A-Day | Wooden Challenging Tangram Puzzle Toys for Adults and Kids | Compact, Travel Friendly Toy for Return & Birthday Gifts",-1,cubelelo,0300 Games & Puzzles,0306 Wooden Puzzles,Toy,4001001a,AMAZON_IN,90838,307,0.3380%,2563.06,54,15699.94,55,47.46407,0.0594%,6.12547,46,12707.55,47,55.71870,0.0506%,4.95796,8,2992.39,8,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,106276615587889,BA - Wooden Toys,"=""434668412101024""",SP-PT - Wooden - Comp - Calendar Puzzle - Best selling - Brain Teaser Puzzles - Exact,"=""480131625002209""",Calendar Puzzle,B0CJBLTM11,"Cubelelo Drift Daily Calendar Puzzle | A-Puzzle-A-Day | Wooden Challenging Tangram Puzzle Toys for Adults and Kids | Compact, Travel Friendly Toy for Return & Birthday Gifts",-1,cubelelo,0300 Games & Puzzles,0306 Wooden Puzzles,Toy,4001001a,AMAZON_IN,6857,20,0.2917%,253.54,1,284.76,1,253.54000,0.0146%,1.12314,1,284.76,1,253.54000,0.0146%,1.12314,0,0.00,0,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,106276615587889,BA - Wooden Toys,"=""556800165272450""",SP-PT - Wooden - Comp - Puzzle Co - Calendar Puzzle - Exact,"=""334412694312199""",Calendar Puzzle,B0CJBLTM11,"Cubelelo Drift Daily Calendar Puzzle | A-Puzzle-A-Day | Wooden Challenging Tangram Puzzle Toys for Adults and Kids | Compact, Travel Friendly Toy for Return & Birthday Gifts",-1,cubelelo,0300 Games & Puzzles,0306 Wooden Puzzles,Toy,4001001a,AMAZON_IN,284,2,0.7042%,18.09,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,108066094626813,BA - Generic - Extremely High Volume,"=""345506724788622""","SP-KT - Mirror, Infinity & Combo - Open - High Volume - Exact","=""427492065631626""",Mirror - High Volume,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,53455,530,0.9915%,3835.11,74,26111.37,74,51.82581,0.1384%,6.80851,56,19052.32,56,68.48411,0.1048%,4.96787,18,7059.05,18,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""560766968003680""","SP-KT - Mirror, Infinity & Combo - Open - Mid & Low Volume - Exact & Phrase - UND","=""525770774800313""",Phrase - Mirror - Mid & Low Volume,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,23593,254,1.0766%,2070.45,24,8483.79,24,86.26875,0.1017%,4.09756,22,7961.88,22,94.11136,0.0932%,3.84548,2,521.91,2,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,162147707583156,BA - Branded - Cubelelo,"=""329970929951347""",SP-KT - Branded - Cubelelo - Mid & Low Volume - Exact & Phrase - UND,"=""360220929148821""",Mirror,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,340,5,1.4706%,21.68,1,713.33,1,21.68000,0.2941%,32.90268,1,713.33,1,21.68000,0.2941%,32.90268,0,0.00,0,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""560766968003680""","SP-KT - Mirror, Infinity & Combo - Open - Mid & Low Volume - Exact & Phrase - UND","=""389003175272486""",Mirror - Mid & Low Volume,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,6540,75,1.1468%,605.47,16,5956.18,16,37.84188,0.2446%,9.83728,11,3341.90,11,55.04273,0.1682%,5.51951,5,2614.28,5,,,,,,,,,
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,162147707583156,BA - Branded - Cubelelo,"=""505382113206749""",SB-KT | All Products | Brand | Store | CPC | Phrase & Exact,"=""497483968325206""",Ad group - 3/9/2024 16:53:08.570,,,,,,,,,,179986,4279,2.3774%,18473.12,346,124603.20,352,53.39052,0.1922%,6.74511,333,117792.72,339,55.47483,0.1850%,6.37644,13,6810.48,13,265,95125.07,270,69.70989,0.1472%,5.14938,8254,2.23808,4.5859%
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,224382981785530,BA - SB New Restructure campaigns.,"=""334124855453438""","SBSL-KT - Generic - 2x2, 3x3, 4x4, 5x5, 6x6, 7x7 - Exact","=""429908011542855""",Generic - 3x3,,,,,,,,,,1114,37,3.3214%,151.06,6,2851.43,6,25.17667,0.5386%,18.87614,6,2851.43,6,25.17667,0.5386%,18.87614,0,0.00,0,5,2595.24,5,30.21200,0.4488%,17.18019,133,1.13579,11.9390%
INR,"Jun 01, 2026 - Jun 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,215664054810032,BA - Number Sliding Puzzle,"=""285100935665485""",SBV-KT - Generic - Number Sliding Puzzle - More than 1L Searches - Exact,"=""366169976798877""",Video - Number Sliding Puzzle,,,,,,,,,,15286,101,0.6607%,875.24,3,768.57,3,291.74667,0.0196%,0.87813,3,768.57,3,291.74667,0.0196%,0.87813,0,0.00,0,3,768.57,3,291.74667,0.0196%,0.87813,132,6.63061,0.8635%
