Budget currency,Date range,Advertiser account ID,Advertiser account name,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Ad group ID,Ad group name,Advertised product ID,Advertised product name,Advertised product parent ID,Advertised product brand,Advertised product category,Advertised product subcategory,Advertised product group,Advertised product SKU,Advertised product marketplace,Impressions,Clicks,CTR,Total cost,Purchases,Sales,Units sold,Cost per purchase,Purchase rate,ROAS,Purchases (promoted),Sales (promoted),Units sold (promoted),Cost per purchase (promoted),Purchase rate (promoted),ROAS (promoted),Purchases (halo),Sales (halo),Units sold (halo),Purchases (new to brand),Sales (new to brand),Units sold (new to brand),Cost per purchase (new to brand),Purchase rate (new to brand),ROAS (new to brand),Detail page views,Cost per detail page view,Detail page view rate
INR,"Apr 01, 2026 - Apr 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,106276615587889,BA - Wooden Toys,"=""422466067749037""",SP-Auto - Wooden Products - Generic,"=""304050272629409""",Auto,B0CJBLTM11,"Cubelelo Drift Daily Calendar Puzzle | A-Puzzle-A-Day | Wooden Challenging Tangram Puzzle Toys for Adults and Kids | Compact, Travel Friendly Toy for Return & Birthday Gifts",-1,cubelelo,0300 Games & Puzzles,0306 Wooden Puzzles,Toy,4001001a,AMAZON_IN,88696,312,0.3518%,2279.57,63,18762.61,64,36.18365,0.0710%,8.23077,42,11028.51,43,54.27548,0.0474%,4.83798,21,7734.10,21,,,,,,,,,
INR,"Apr 01, 2026 - Apr 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,106276615587889,BA - Wooden Toys,"=""434668412101024""",SP-PT - Wooden - Comp - Calendar Puzzle - Best selling - Brain Teaser Puzzles - Exact,"=""480131625002209""",Calendar Puzzle,B0CJBLTM11,"Cubelelo Drift Daily Calendar Puzzle | A-Puzzle-A-Day | Wooden Challenging Tangram Puzzle Toys for Adults and Kids | Compact, Travel Friendly Toy for Return & Birthday Gifts",-1,cubelelo,0300 Games & Puzzles,0306 Wooden Puzzles,Toy,4001001a,AMAZON_IN,9090,46,0.5061%,512.94,8,4089.53,11,64.11750,0.0880%,7.97273,4,1554.28,5,128.23500,0.0440%,3.03014,4,2535.25,6,,,,,,,,,
INR,"Apr 01, 2026 - Apr 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,106276615587889,BA - Wooden Toys,"=""556800165272450""",SP-PT - Wooden - Comp - Puzzle Co - Calendar Puzzle - Exact,"=""334412694312199""",Calendar Puzzle,B0CJBLTM11,"Cubelelo Drift Daily Calendar Puzzle | A-Puzzle-A-Day | Wooden Challenging Tangram Puzzle Toys for Adults and Kids | Compact, Travel Friendly Toy for Return & Birthday Gifts",-1,cubelelo,0300 Games & Puzzles,0306 Wooden Puzzles,Toy,4001001a,AMAZON_IN,317,1,0.3155%,7.22,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,0.0000%,0.00000,0,0.00,0,,,,,,,,,
INR,"Apr 01, 2026 - Apr 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,108066094626813,BA - Generic - Extremely High Volume,"=""345506724788622""","SP-KT - Mirror, Infinity & Combo - Open - High Volume - Exact","=""427492065631626""",Mirror - High Volume,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,35246,532,1.5094%,2797.32,86,27452.37,86,32.52698,0.2440%,9.81381,62,19100.03,62,45.11806,0.1759%,6.82798,24,8352.34,24,,,,,,,,,
INR,"Apr 01, 2026 - Apr 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""560766968003680""","SP-KT - Mirror, Infinity & Combo - Open - Mid & Low Volume - Exact & Phrase - UND","=""525770774800313""",Phrase - Mirror - Mid & Low Volume,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,22864,278,1.2159%,2016.93,32,11053.32,33,63.02906,0.1400%,5.48027,23,7957.14,24,87.69261,0.1006%,3.94517,9,3096.18,9,,,,,,,,,
INR,"Apr 01, 2026 - Apr 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,162147707583156,BA - Branded - Cubelelo,"=""329970929951347""",SP-KT - Branded - Cubelelo - Mid & Low Volume - Exact & Phrase - UND,"=""360220929148821""",Mirror,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,649,6,0.9245%,38.08,1,188.57,1,38.08000,0.1541%,4.95194,0,0.00,0,,0.0000%,0.00000,1,188.57,1,,,,,,,,,
INR,"Apr 01, 2026 - Apr 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""560766968003680""","SP-KT - Mirror, Infinity & Combo - Open - Mid & Low Volume - Exact & Phrase - UND","=""389003175272486""",Mirror - Mid & Low Volume,B0DRVW5BNS,Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy,B0DWMW5ZNX,cubelelo,0300 Games & Puzzles,0301 Family Board / Action,Toy,1120039,AMAZON_IN,11470,135,1.1770%,990.86,12,3890.48,12,82.57167,0.1046%,3.92637,8,2819.05,8,123.85750,0.0697%,2.84505,4,1071.43,4,,,,,,,,,
INR,"Apr 01, 2026 - Apr 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,108066094626813,BA - Generic - Extremely High Volume,"=""530532259196935""","SP-KT - Megaminx, Pyramid, Timer & Gear - Open - High Volume - Exact","=""321431385380150""",Pyramid - High Volume,B0CVL6X9KS,Cubelelo Drift Pyraminx and Cube Lube Combo | Pyramid Triangle Speedcube & Premium Lubricant Set,-1,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1460544,AMAZON_IN,11594,91,0.7849%,811.67,12,3948.56,12,67.63917,0.1035%,4.86474,7,2898.09,7,115.95286,0.0604%,3.57053,5,1050.47,5,,,,,,,,,
INR,"Apr 01, 2026 - Apr 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""315451570129574""","SP-KT - Maglev, Mastermorphix, Puppet, Snake, Square1, Megaminx - Open - Mid & Low Volume - Exact & Phrase - UND","=""355780307112522""",Snake - Mid & Low Volume - Exact & Phrase,B0BV247KZ6,Cubelelo Magic Snake Rainbow Puzzle Cube (24 Wedges) | Twist and Turn Shape Creation Fun Game for Kids Boys Girls and Adults | Multicolor Brain Teaser Stress Buster Toy | for Ages 3 Years and Above,B0CT8VHGGD,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1310035_EAN,AMAZON_IN,9956,263,2.6416%,1295.61,48,16930.42,54,26.99188,0.4821%,13.06753,42,15365.67,48,30.84786,0.4219%,11.85980,6,1564.75,6,,,,,,,,,
INR,"Apr 01, 2026 - Apr 30, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,279942205262904,BA - Generic - Mid & Low Volume,"=""405383753413943""","SP-KT - Lube Combo, Magic, Pyraminx, Skewb, Stand, Timer, Gear - Open - Mid & Low Volume - Exact & Phrase","=""372803868727165""",Skewb - Mid & Low Volume - Exact & Phrase,B09K7QWDT5,Cubelelo Drift Skewb Stickerless Speedcube Puzzle for Kids & Adults | Fast & Smooth Stress Buster | Brain-Boosting Challenge for Kids and Adults (Multicolour),B08BTYH1QF,cubelelo,0300 Games & Puzzles,0307 Non-wooden Puzzles,Toy,1130100,AMAZON_IN,9236,233,2.5227%,1757.89,51,27484.85,61,34.46843,0.5522%,15.63514,39,19411.52,39,45.07410,0.4223%,11.04251,12,8073.33,22,,,,,,,,,
