id,reportKey,createdAt,currency,amount,sku,adjustmentid,amountdescription,amounttype,depositdate,fulfillmentid,marketplacename,merchantadjustmentitemid,merchantorderid,merchantorderitemid,orderid,orderitemcode,posteddate,posteddatetime,promotionid,quantitypurchased,settlementenddate,settlementid,settlementstartdate,shipmentid,totalamount,transactiontype
cmqg8lkr10qlem9moxly9b4ct,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,INR,,,,,,16.06.2026 04:21:28 UTC,,,,,,,,,,,,14.06.2026 04:21:28 UTC,27310052502,13.06.2026 04:21:28 UTC,,0.00,
cmqg8lkr20qlfm9mothxkm743,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,475.24,1460553,,Principal,ItemPrice,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qlgm9mofwbu51hi,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,23.76,1460553,,Product Tax,ItemPrice,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qlhm9mo2myq65ar,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-1.19,1460553,,TCS-SGST,ItemTCS,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qlim9moq3gi3mz1,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-1.19,1460553,,TCS-CGST,ItemTCS,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qljm9mouajqnz2g,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-0.49,1460553,,TDS (Section 194-O),ItemTDS,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qlkm9morod2yoss,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-17.00,1460553,,FBA Pick & Pack Fee,ItemFees,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qllm9moq8qq4ekw,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-1.53,1460553,,FBA Pick & Pack Fee CGST,ItemFees,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qlmm9mofy9gr0uw,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-1.53,1460553,,FBA Pick & Pack Fee SGST,ItemFees,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qlnm9mojqlcwjwl,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-42.00,1460553,,FBA Weight Handling Fee,ItemFees,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qlom9mohmeotza9,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-3.78,1460553,,FBA Weight Handling Fee CGST,ItemFees,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qlpm9mochmrpd0e,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-3.78,1460553,,FBA Weight Handling Fee SGST,ItemFees,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qlqm9mozbr20hjm,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-22.00,1460553,,Fixed closing fee,ItemFees,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qlrm9mohshsqx9k,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-3.96,1460553,,Fixed closing fee IGST,ItemFees,,AFN,Amazon.in,,403-4874634-3009943,,403-4874634-3009943,64164469466082,13.06.2026,13.06.2026 05:17:58 UTC,,1,,27310052502,,Twdz4nHDH,,Order
cmqg8lkr20qlsm9moho1vnksn,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,284.76,1120100,,Principal,ItemPrice,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qltm9mofdbrsrbp,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,14.24,1120100,,Product Tax,ItemPrice,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qlum9modar3y5ma,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,38.10,1120100,,Shipping,ItemPrice,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qlvm9moe84uh0qy,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,1.90,1120100,,Shipping tax,ItemPrice,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qlwm9mo6xatfiyq,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-1.42,1120100,,TCS-IGST,ItemTCS,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qlxm9monn9w4f09,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-0.30,1120100,,TDS (Section 194-O),ItemTDS,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qlym9mo4fpt6uke,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-17.00,1120100,,FBA Pick & Pack Fee,ItemFees,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qlzm9moihupmx27,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-1.53,1120100,,FBA Pick & Pack Fee CGST,ItemFees,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qm0m9moomrcxlc9,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-1.53,1120100,,FBA Pick & Pack Fee SGST,ItemFees,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qm1m9mo5e8a5l0p,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-42.00,1120100,,FBA Weight Handling Fee,ItemFees,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qm2m9moyak1z18a,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-3.78,1120100,,FBA Weight Handling Fee CGST,ItemFees,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qm3m9moine1g83c,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-3.78,1120100,,FBA Weight Handling Fee SGST,ItemFees,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qm4m9mom64toih5,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-26.00,1120100,,Fixed closing fee,ItemFees,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qm5m9moyyuh0mma,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-4.68,1120100,,Fixed closing fee IGST,ItemFees,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qm6m9mo6fsqi2m4,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-38.10,1120100,,Shipping discount,Promotion,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qm7m9moqzu4trsg,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,-1.90,1120100,,Shipping tax discount,Promotion,,AFN,Amazon.in,,407-8395583-3364348,,407-8395583-3364348,63969628799162,13.06.2026,13.06.2026 04:33:19 UTC,,1,,27310052502,,TgrgjhPPH,,Order
cmqg8lkr20qm8m9mo1j4iqaw8,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,713.34,1460510,,Principal,ItemPrice,,AFN,Amazon.in,,171-1406678-0477129,,171-1406678-0477129,64167988054722,13.06.2026,13.06.2026 06:02:26 UTC,,1,,27310052502,,TctqMwHMH,,Order
cmqg8lkr20qm9m9mo300q63i9,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,35.66,1460510,,Product Tax,ItemPrice,,AFN,Amazon.in,,171-1406678-0477129,,171-1406678-0477129,64167988054722,13.06.2026,13.06.2026 06:02:26 UTC,,1,,27310052502,,TctqMwHMH,,Order
cmqg8lkr20qmam9mod5m3li62,amazon_v2_settlement_report_data_flat_file_v2_electronics,2026-06-16 06:04:13.25,,75.24,1460510,,Shipping,ItemPrice,,AFN,Amazon.in,,171-1406678-0477129,,171-1406678-0477129,64167988054722,13.06.2026,13.06.2026 06:02:26 UTC,,1,,27310052502,,TctqMwHMH,,Order
