Date range,Advertiser account ID,Advertiser account name,Manager accounts,Ad product,Campaign ID,Campaign name,Global Campaign ID,Budget currency,Impressions,Viewable impressions,Clicks,CTR,Viewable CTR (vCTR),Total cost,Purchases,Purchases (new to brand),Cost per purchase,Cost per purchase (new to brand),Sales,Long-term sales,ROAS,Long-term ROAS
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""46982620548775""",SP - PT - Tangram - NB - Comp - Pelikas - Exact - DO,,INR,55158,0,909,1.6480%,,9453.63,78,,121.20038,,43363.90,,4.58701,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""303138629347007""",SP-KT - Comp - GAN - Generic - Mid & Low Volume - Exact & Phrase,,INR,81506,0,1660,2.0367%,,10092.24,77,,131.06805,,80559.05,,7.98228,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""369883644681767""","SP-KT - Magnetic - Open, 2x2, 4x4, 5x5 - High Volume - Exact & Phrase",,INR,148634,0,2260,1.5205%,,15867.11,179,,88.64307,,96076.33,,6.05506,
"May 01, 2026 - May 26, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""433539719600289""","SP-CT - Tinker Box - Tool Kit,Stack & Balance Human Tower & Toy Train Set",,INR,4994,0,11,0.2203%,,28.22,2,,14.11000,,2855.24,,101.17789,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""343328245514155""",BA - SP PT - Cube Timer - Brand - ST,,INR,17265,0,572,3.3131%,,3963.55,55,,72.06455,,52117.08,,13.14909,
"May 12, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""136579885639997""",BA - SP - KT - Clang - NB - Generic - Magnetic Keywords - BMM - DO,,INR,1725,0,32,1.8551%,,151.62,4,,37.90500,,1709.53,,11.27510,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""251982080013737""",SP-KT - GAN - Comp - Mid & Low Volume - Exact & Phrase - UND,,INR,3902,0,145,3.7160%,,584.83,5,,116.96600,,6232.38,,10.65674,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Brands,"=""305807850584699""",SBV-KT - ROS - Number Sliding Puzzle - Generic - Exact,,INR,91977,17882,1090,1.1851%,6.0955%,8845.11,97,90,91.18670,98.27900,29151.47,54433.05,3.29577,6.15403
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""73064977804193""",SP-PT - Comp - Tangram - Exact,,INR,10500,0,155,1.4762%,,1451.51,15,,96.76733,,5610.49,,3.86528,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""401436515512721""",SP-KT - Magnetic - 'Rubix Cube 3x3 Magnetic' - SKAG - High Volume - Exact,,INR,262635,0,1658,0.6313%,,15225.05,192,,79.29714,,97042.97,,6.37390,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""490754366018145""",SP-KT - Gen Copy - 3M (V3) - Exact,,INR,23219,0,955,4.1130%,,7508.41,107,,70.17206,,38361.04,,5.10908,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""508041836775444""",SP-KT - Comp - Moyu - Generic - High Volume - Exact,,INR,12230,0,101,0.8258%,,505.33,8,,63.16625,,4190.46,,8.29252,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Brands,"=""215668526840756""",BA - SBV - KT - Tangram - Generic - Mid Volume - Exact,,INR,19088,2059,178,0.9325%,8.6450%,7059.93,28,26,252.14036,271.53577,10347.64,14831.50,1.46569,2.10080
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""498287583816355""","SP-KT - Generic - 5x5, 6x6, 7x7, Keychain - Mid & Low Volume - Exact & Phrase",,INR,205137,0,2680,1.3064%,,25395.11,339,,74.91183,,219833.09,,8.65651,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Display,"=""316273786051120""",SD-CT - 3D Puzzle & Brain Teasers - Comp - Open - Broad - Old,,INR,1831,0,1,0.0546%,,2.46,0,0,,,0.00,0.00,0.00000,0.00000
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Brands,"=""299103076353766""","SBSL-KT - Megaminx, Pyramid, Timer & Gear - Open - Exact",,INR,28982,11951,1100,3.7955%,9.2043%,3098.56,84,50,36.88762,61.97120,37163.43,42615.30,11.99378,13.75326
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Brands,"=""334124855453438""","SBSL-KT - Generic - 2x2, 3x3, 4x4, 5x5, 6x6, 7x7 - Exact",,INR,11085,6058,386,3.4822%,6.3717%,1355.24,46,31,29.46174,43.71742,18046.68,22473.54,13.31622,16.58270
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""345506724788622""","SP-KT - Mirror, Infinity & Combo - Open - High Volume - Exact",,INR,152021,0,2134,1.4038%,,10588.25,364,,29.08860,,115704.66,,10.92765,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""312905165546329""",SP-PT - Wooden Toy Beads Threading Lacing - Lower ASP - High Volume - Exact,,INR,12875,0,261,2.0272%,,2314.44,17,,136.14353,,11317.07,,4.88977,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""556800165272450""",SP-PT - Wooden - Comp - Puzzle Co - Calendar Puzzle - Exact,,INR,852,0,7,0.8216%,,41.54,0,,,,0.00,,0.00000,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""560766968003680""","SP-KT - Mirror, Infinity & Combo - Open - Mid & Low Volume - Exact & Phrase - UND",,INR,215659,0,2364,1.0962%,,16396.10,340,,48.22382,,121558.98,,7.41390,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""358488783032231""",SP-Auto - Infinity Cubes,,INR,964107,0,6615,0.6861%,,17805.03,215,,82.81409,,83357.45,,4.68168,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""334559235709808""",SP-KT - Generic - 3x3 - Mid & Low Volume - Exact & Phrase - UND,,INR,518247,0,4792,0.9247%,,42434.07,620,,68.44205,,277594.90,,6.54179,
"May 14, 2026 - May 25, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""487445557152955""",SP - PT - 4x4 Number Sliding Puzzle - Competition,,INR,7,0,1,14.2857%,,14.03,0,,,,0.00,,0.00000,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""439881614291142""",SP - KT - 4x4 Number Sliding Puzzle - Mid & Low Volume - Phrase and BMM,,INR,7021,0,41,0.5840%,,481.20,4,,120.30000,,1653.33,,3.43585,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Display,"=""403022595429362""",BA_SD_Category Targeting_VR_All Products_5/24,,INR,617208,0,1872,0.3033%,,13013.49,76,42,171.23013,309.84500,32435.16,38920.73,2.49243,2.99080
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""353368777045800""",SP-KT - Generic - 3x3 - 'Rubik's Cube 3x3 Speed Cube' - SKAG - High Volume - Exact - UND,,INR,273024,0,2498,0.9149%,,20769.85,328,,63.32271,,137171.83,,6.60437,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""495997417400177""",SP-KT - Generic - Open - 'Rubix Cube' - SKAG - High Volume - Exact,,INR,111029,0,897,0.8079%,,9664.28,144,,67.11306,,60658.22,,6.27654,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""100730157368715""",SP - CT - Tangram - Above 299,,INR,12294,0,115,0.9354%,,597.45,7,,85.35000,,3385.73,,5.66697,
"May 05, 2026 - May 23, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Brands,"=""368850028288804""",SBV-KT - Number Sliding Puzzle - Generic - BMM,,INR,18,5,0,0.0000%,0.0000%,0.00,0,0,,,0.00,0.00,,
"May 01, 2026 - May 31, 2026","=""amzn1.ads-account.g.a5og6bnunpn8m911rke7gdql""",Cubelelo,,Sponsored Products,"=""88215368194317""",SP - PT - Tangram - Smartivity - Comp - Exact,,INR,338,0,5,1.4793%,,27.92,1,,27.92000,,380.00,,13.61032,
