(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FBMGT6V7,B0FBMGT6V7,Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults,1030300_EAN,"53,218",789,14.95%,12.87%,"71,467","1,102",14.43%,12.65%,99.99%,100.00%,"3,514",38,6.60%,4.82%,"₹5,29,799.00","₹5,795.00","3,213",34
B0DRVQVFJB,B0DRVQVFJB,Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults,1030604,"29,861",469,8.39%,7.65%,"49,534",810,10.00%,9.30%,99.93%,100.00%,"2,180",34,7.30%,7.25%,"₹9,96,477.00","₹15,997.00","2,156",32
B09HH8CC7Y,B09HH8CC7Y,"Cubelelo Drift Number Sliding Magnetic Puzzle 4x4 | Toys For 6-10 Years Old Boys & Girls | 15-Blocks Brain Teaser Puzzle Game for Kids | Educational, Learning, Activity Toy for Return & Birthday Gifts",1630210,"15,658",313,4.40%,5.10%,"22,087",449,4.46%,5.15%,99.79%,100.00%,"1,778",26,11.36%,8.31%,"₹4,75,461.00","₹6,984.00","1,581",24
B0BYVHGR5H,B0BYVHGR5H,"Cubelelo Drift 2x2, 3x3 & Pyraminx Cube Combo (Stickerless) | Ideal for Kids Above 3 4 5 6 Years Old Boys Girls | 3 in 1 Speedcube Gift Set | High Speed Puzzle 3x3x3 2x2x2 Pyramid Triangle",1460553,"12,509",200,3.51%,3.26%,"18,436",312,3.72%,3.58%,99.43%,100.00%,"1,338",23,10.70%,11.50%,"₹6,61,175.00","₹11,477.00","1,281",23
B07XPNC385,B07XPNC385,Cubelelo Drift 3x3 Black Speedcube | Beginner Cube for Kids & Adults | Magic Speed Stress Buster Brainstorming Puzzle (Multicolor) | Anti-Pop Technology | Smooth Turning | Durable,1030400,"9,106",146,2.56%,2.38%,"13,603",250,2.75%,2.87%,99.53%,98.63%,"1,323",31,14.53%,21.23%,"₹2,62,579.01","₹6,365.61","1,196",22
B08LBGYZ51,B08LBGYZ51,Cubelelo Drift 3x3 Mirror (Silver) Magic Speed Cube | Shape Shifter Speedcube with Durable Stickers | Advanced 3x3x3 Puzzle Toy for Kids Ages 7-14 Boys Girls & Adults | Collector's Item,1120100,"8,964",121,2.52%,1.97%,"12,289",163,2.48%,1.87%,99.96%,100.00%,671,11,7.49%,9.09%,"₹1,97,380.00","₹3,284.00",642,10
B08LBJ3P8L,B08LBJ3P8L,Cubelelo Drift 2x2 Stickerless Cube | Beginner Speedcube for Kids Boys Girls Above 3 4 5 6 Years Old & Above | Magic Puzzle Toy | Durable & Smooth Cube with Anti-Pop Design 2x2x2,1020200,"3,708",84,1.04%,1.37%,"5,867",129,1.18%,1.48%,99.87%,100.00%,690,36,18.61%,42.86%,"₹1,56,376.00","₹7,740.00",628,19
B0GH18NXXG,B0GH18NXXG,"Cubelelo Drift Magnetic Tangram Puzzle | with Strong Magnets, Wooden Pieces & Bold Colors | Toys for 5-10 Years Old Boys Girls & Adults | Travel Friendly, Educational Toy for Return & Birthday Gifts",1630222,"11,043",214,3.10%,3.49%,"14,572",271,2.94%,3.11%,99.87%,100.00%,706,4,6.39%,1.87%,"₹2,76,891.00","₹1,596.00",617,4
B08H88N2N9,B08H88N2N9,Cubelelo Drift Warrior 3x3 Stickerless Cube | Beginner Speedcube for Kids Boys Girls Above 3 4 5 6 Years Old & Above | Magic Puzzle Toy | Durable & Smooth Cube with Anti-Pop Design 3 3,1030500,"10,588",150,2.97%,2.45%,"14,204",217,2.87%,2.49%,99.95%,95.79%,665,13,6.28%,8.67%,"₹1,32,465.00","₹2,574.00",599,6
B09B7PNSTV,B09B7PNSTV,Cubelelo Drift Infinity Cube (Blue) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above,1630202,"17,537",358,4.93%,5.84%,"22,841",442,4.61%,5.07%,99.98%,100.00%,664,9,3.79%,2.51%,"₹2,08,534.00","₹2,936.00",567,9
