settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
27348770602	19.06.2026 04:21:27 UTC	20.06.2026 04:21:27 UTC	22.06.2026 04:21:27 UTC	26121.43	INR																		
27348770602						Order	404-2548476-0435551	404-2548476-0435551		TCS378w7H	Amazon.in	ItemPrice	Principal	475.24	AFN	19.06.2026	19.06.2026 05:44:56 UTC	64267366018522			1460553	1	
27348770602						Order	404-2548476-0435551	404-2548476-0435551		TCS378w7H	Amazon.in	ItemPrice	Product Tax	23.76	AFN	19.06.2026	19.06.2026 05:44:56 UTC	64267366018522			1460553	1	
27348770602						Order	404-2548476-0435551	404-2548476-0435551		TCS378w7H	Amazon.in	ItemPrice	Shipping	38.10	AFN	19.06.2026	19.06.2026 05:44:56 UTC	64267366018522			1460553	1	
27348770602						Order	404-2548476-0435551	404-2548476-0435551		TCS378w7H	Amazon.in	ItemPrice	Shipping tax	1.90	AFN	19.06.2026	19.06.2026 05:44:56 UTC	64267366018522			1460553	1	
27348770602						Order	404-2548476-0435551	404-2548476-0435551		TCS378w7H	Amazon.in	ItemTCS	TCS-IGST	-2.38	AFN	19.06.2026	19.06.2026 05:44:56 UTC	64267366018522			1460553	1	
27348770602						Order	404-2548476-0435551	404-2548476-0435551		TCS378w7H	Amazon.in	ItemTDS	TDS (Section 194-O)	-0.49	AFN	19.06.2026	19.06.2026 05:44:56 UTC	64267366018522			1460553	1	
27348770602						Order	404-2548476-0435551	404-2548476-0435551		TCS378w7H	Amazon.in	ItemFees	FBA Pick & Pack Fee	-17.00	AFN	19.06.2026	19.06.2026 05:44:56 UTC	64267366018522			1460553	1	
27348770602						Order	404-2548476-0435551	404-2548476-0435551		TCS378w7H	Amazon.in	ItemFees	FBA Pick & Pack Fee CGST	-1.53	AFN	19.06.2026	19.06.2026 05:44:56 UTC	64267366018522			1460553	1	
27348770602						Order	404-2548476-0435551	404-2548476-0435551		TCS378w7H	Amazon.in	ItemFees	FBA Pick & Pack Fee SGST	-1.53	AFN	19.06.2026	19.06.2026 05:44:56 UTC	64267366018522			1460553	1	
